NumDots,SubdomainLevel,PathLevel,UrlLength,NumDash,NumDashInHostname,AtSymbol,TildeSymbol,NumUnderscore,NumPercent,NumQueryComponents,NumAmpersand,NumHash,NumNumericChars,NoHttps,RandomString,IpAddress,DomainInSubdomains,DomainInPaths,HttpsInHostname,HostnameLength,PathLength,QueryLength,DoubleSlashInPath,NumSensitiveWords,phishing
1,0,4,59,0,0,0,0,0,0,0,0,0,22,1,1,0,0,1,0,12,40,0,0,0,1
1,0,4,32,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,11,14,0,0,0,1
5,1,2,52,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,25,20,0,0,0,1
2,1,6,62,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,18,37,0,0,0,1
1,0,10,105,2,0,0,0,0,0,0,0,0,24,1,1,0,0,1,0,11,87,0,0,0,1
4,1,2,55,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,31,17,0,0,0,1
5,0,3,134,3,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,14,56,56,0,1,1
2,0,3,43,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,14,22,0,0,0,1
6,0,3,210,2,0,0,0,7,0,5,4,0,24,1,1,0,0,1,0,9,54,139,0,1,1
2,0,7,135,2,0,0,0,3,0,2,1,0,1,1,0,0,0,1,0,22,51,54,0,1,1
5,0,6,85,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,9,69,0,0,0,1
2,1,3,80,0,0,0,0,0,0,0,0,0,17,1,1,0,0,1,0,32,41,0,0,0,1
2,0,2,44,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,19,18,0,0,0,1
3,0,9,95,0,0,0,0,0,4,0,0,0,16,1,1,0,0,0,0,10,78,0,0,0,1
2,0,6,60,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,15,38,0,0,0,1
2,0,5,60,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,12,41,0,0,2,1
6,0,2,100,1,0,0,0,0,0,1,0,0,8,1,0,0,0,0,0,22,18,52,0,1,1
6,0,2,111,1,0,0,0,0,0,1,0,1,18,1,0,0,0,0,0,22,18,52,0,1,1
2,1,2,29,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,16,6,0,0,0,1
2,1,2,37,2,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,24,6,0,0,0,1
3,1,2,49,2,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,24,18,0,0,0,1
1,0,3,34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,14,13,0,0,0,1
3,1,3,53,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,22,24,0,0,0,1
2,0,3,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,24,0,0,0,1
3,0,5,65,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,16,42,0,0,0,1
5,1,2,182,0,0,0,0,0,0,1,0,0,75,1,1,0,0,0,0,30,37,107,0,2,1
3,0,2,47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,19,21,0,0,0,1
4,1,3,55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,32,0,0,0,1
2,0,4,62,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,42,0,0,1,1
2,0,5,59,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,34,0,0,0,1
3,0,2,39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,14,0,0,0,1
2,0,5,41,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,11,23,0,0,0,1
2,0,3,142,0,0,0,0,1,0,0,0,0,5,1,1,0,0,0,0,14,121,0,0,1,1
2,1,2,29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,5,0,0,0,1
4,1,3,51,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16,28,0,0,0,1
3,1,2,39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,17,0,0,0,1
3,1,2,48,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,24,17,0,0,0,1
2,0,5,59,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27,25,0,0,0,1
2,0,7,129,2,0,0,0,3,0,2,1,0,1,1,0,0,0,1,0,22,51,48,0,1,1
3,1,2,34,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,5,0,0,0,1
8,7,2,184,2,2,0,0,0,0,2,1,0,26,1,1,0,1,0,0,76,34,66,0,1,1
8,7,2,184,2,2,0,0,0,0,2,1,0,33,1,1,0,1,0,0,76,34,66,0,1,1
2,0,7,135,2,0,0,0,3,0,1,1,0,1,1,0,0,0,1,0,22,51,54,0,1,1
2,0,7,133,2,0,0,0,3,0,2,1,0,1,1,0,0,0,1,0,22,51,52,0,1,1
4,1,3,52,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,17,28,0,0,0,1
4,2,1,58,0,0,0,0,0,0,1,0,0,4,1,1,0,0,0,0,17,15,18,0,0,1
5,1,5,120,1,0,0,0,1,0,0,0,0,22,1,1,0,0,1,0,23,90,0,0,2,1
3,1,3,48,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,16,25,0,0,0,1
4,0,3,58,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,35,0,0,0,1
1,0,3,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,17,0,0,0,1
2,1,3,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,22,8,0,0,0,1
2,1,2,63,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,17,5,33,0,0,1
5,1,5,120,1,0,0,0,1,0,0,0,0,20,1,1,0,0,1,0,23,90,0,0,2,1
2,0,2,52,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,25,20,0,0,1,1
5,0,4,58,0,0,0,0,0,0,0,0,0,12,1,0,1,0,0,0,15,36,0,0,0,1
2,0,3,51,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,26,0,0,0,1
1,0,6,73,0,0,0,0,1,0,0,0,0,3,1,1,0,0,1,0,14,52,0,0,0,1
3,1,4,57,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,35,0,0,1,1
2,0,3,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,17,8,0,0,0,1
2,0,4,52,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,21,24,0,0,0,1
1,0,2,47,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,23,9,7,0,0,1
1,0,3,59,1,1,0,0,0,0,0,0,0,18,1,1,0,0,0,0,14,38,0,0,0,1
5,0,7,135,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,11,77,39,0,1,1
2,1,2,34,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,9,0,0,0,1
1,0,10,153,0,0,0,0,1,0,0,0,0,47,1,1,0,0,0,0,15,131,0,0,0,1
2,0,2,51,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,17,27,0,0,0,1
5,1,5,120,1,0,0,0,1,0,0,0,0,17,1,1,0,0,1,0,23,90,0,0,2,1
3,0,5,67,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,44,0,0,2,1
2,0,2,41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,16,0,0,0,1
2,0,2,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,15,0,0,0,1
1,0,2,39,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,9,0,0,0,1
3,1,2,58,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28,23,0,0,0,1
2,1,4,46,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,14,25,0,0,0,1
4,1,2,48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,16,5,0,0,1
2,0,5,139,0,0,0,0,0,0,2,1,0,43,1,1,0,0,0,0,21,60,50,0,0,1
1,0,4,79,1,0,0,0,0,0,0,0,0,32,1,1,0,0,0,0,13,59,0,0,0,1
1,0,4,79,1,0,0,0,0,0,0,0,0,30,1,1,0,0,0,0,13,59,0,0,0,1
3,1,3,53,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,29,17,0,0,0,1
2,0,5,53,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10,36,0,0,0,1
3,1,5,70,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,37,0,0,0,1
3,0,2,49,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28,14,0,0,0,1
12,11,6,149,2,2,0,0,0,0,0,0,0,18,1,1,0,1,0,0,84,58,0,0,1,1
4,1,5,152,2,0,0,0,7,0,2,2,0,4,1,1,0,0,1,0,18,39,87,0,0,1
3,0,4,82,0,0,0,0,2,0,1,0,0,4,1,0,0,0,0,0,26,36,12,0,0,1
2,0,2,39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,22,0,0,1,1
1,0,3,39,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,23,9,0,0,0,1
1,0,4,50,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,23,20,0,0,0,1
5,1,5,79,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,30,42,0,0,0,1
1,0,2,25,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,13,5,0,0,0,1
3,0,3,212,0,0,0,0,8,0,10,9,0,48,1,1,0,0,0,0,15,33,156,0,0,1
3,0,3,57,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,15,33,1,0,0,1
3,1,3,47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,22,0,0,0,1
1,0,2,52,0,0,0,0,0,0,0,0,0,23,1,1,0,0,0,0,9,36,0,0,0,1
2,0,3,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,17,0,0,0,1
1,0,3,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,14,0,0,0,1
2,0,2,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,15,0,0,0,1
3,1,2,64,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,37,20,0,0,0,1
2,0,3,42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,22,0,0,0,1
2,0,3,43,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,23,0,0,0,1
2,0,3,42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,22,0,0,0,1
2,0,3,49,0,0,0,0,0,1,0,0,0,2,1,1,0,0,1,0,13,29,0,0,0,1
3,1,5,64,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,21,36,0,0,0,1
2,0,4,68,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,23,38,0,0,0,1
2,0,4,48,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,24,0,0,0,1
2,0,4,49,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,25,0,0,0,1
1,0,4,38,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,14,0,0,0,1
4,0,4,89,2,0,0,0,0,0,0,0,0,21,1,1,1,0,0,0,13,34,34,0,2,1
2,1,5,79,0,0,0,0,0,0,0,0,0,20,1,1,0,0,1,0,19,53,0,0,0,1
4,0,4,90,2,0,0,0,0,0,0,0,0,22,1,1,1,0,0,0,13,34,35,0,2,1
4,0,4,89,2,0,0,0,0,0,0,0,0,21,1,1,1,0,0,0,13,34,34,0,2,1
2,0,8,50,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,12,31,0,0,0,1
3,1,3,54,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,25,0,0,0,1
6,0,3,149,3,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,14,56,71,0,1,1
2,0,8,50,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,12,31,0,0,0,1
2,0,8,50,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,12,31,0,0,0,1
2,1,3,37,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,15,15,0,0,0,1
4,2,5,62,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,39,0,0,0,1
1,0,2,29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,5,0,0,0,1
2,0,3,172,1,0,0,0,7,0,2,2,0,25,1,1,0,0,0,0,17,52,95,0,0,1
2,0,3,164,1,0,0,0,7,0,2,2,0,25,1,1,0,0,0,0,17,52,87,0,0,1
2,0,3,44,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,19,18,0,0,0,1
6,1,8,142,3,0,0,0,0,0,0,0,0,24,1,1,0,0,1,0,15,120,0,0,0,1
4,1,5,191,2,0,0,0,7,0,3,2,0,22,1,1,0,0,1,0,18,69,96,0,0,1
4,1,5,191,2,0,0,0,7,0,3,2,0,26,1,1,0,0,1,0,18,69,96,0,0,1
4,1,5,191,2,0,0,0,7,0,3,2,0,21,1,1,0,0,1,0,18,69,96,0,0,1
1,0,4,59,0,0,0,0,0,0,0,0,0,22,1,1,0,0,1,0,12,40,0,0,0,1
3,1,3,56,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,28,0,0,0,1
2,0,5,58,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,31,0,0,0,1
4,0,2,53,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,22,24,0,0,0,1
2,0,2,33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,12,14,0,0,0,1
2,0,2,33,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,9,17,0,0,0,1
2,1,2,55,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,37,11,0,0,0,1
3,1,1,51,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,21,0,0,0,1
1,0,5,41,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,15,19,0,0,0,1
1,0,3,35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,17,11,0,0,0,1
2,0,2,36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,19,0,0,0,1
3,0,3,65,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,20,38,0,0,0,1
3,0,5,187,2,0,0,0,7,0,3,2,0,23,1,1,0,0,1,0,14,69,96,0,0,1
3,0,4,69,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,26,36,0,0,0,1
5,1,4,83,0,0,0,0,0,0,2,0,0,12,0,0,0,0,1,0,11,27,36,0,0,1
3,0,2,49,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,9,33,0,0,0,1
2,0,3,48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,26,0,0,0,1
2,1,2,56,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,37,11,0,0,0,1
2,0,3,42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,22,0,0,0,1
5,4,2,74,1,1,0,0,0,0,0,0,0,7,1,1,0,1,1,0,63,4,0,0,0,1
5,4,2,86,1,1,0,0,0,0,1,0,0,4,1,1,0,1,1,0,49,4,25,0,0,1
8,7,2,111,2,2,0,0,0,0,1,0,0,10,1,1,0,1,1,0,62,4,37,0,0,1
8,7,2,123,1,1,0,0,0,0,1,0,0,13,1,1,0,1,1,0,65,4,46,0,0,1
5,4,2,95,1,1,0,0,0,0,1,0,0,8,1,1,0,1,1,0,53,4,30,0,0,1
4,1,3,55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,31,17,0,0,0,1
2,1,3,52,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,33,12,0,0,0,1
2,0,2,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,16,0,0,0,1
3,1,5,84,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,25,52,0,0,0,1
3,1,4,53,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,18,28,0,0,0,1
2,0,2,92,1,0,0,0,5,0,1,0,0,5,1,1,0,0,0,0,14,19,51,0,0,1
2,0,2,28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,3,0,0,0,1
2,0,3,39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,23,0,0,0,1
2,0,4,48,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,31,0,0,0,1
2,0,1,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,9,0,0,0,1
2,0,2,39,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,18,14,0,0,0,1
3,1,2,35,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,15,13,0,0,0,1
1,0,3,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,14,0,0,0,1
2,0,3,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15,23,0,0,0,1
3,1,2,47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,23,0,0,0,1
3,1,4,60,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,21,32,0,0,0,1
2,0,3,35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,13,0,0,0,1
4,0,4,97,2,0,0,0,0,0,0,0,0,18,1,0,1,0,0,0,13,45,31,0,2,1
4,0,4,98,2,0,0,0,0,0,0,0,0,19,1,0,1,0,0,0,13,45,32,0,2,1
3,0,2,44,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,20,0,0,0,1
3,0,4,61,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,24,30,0,0,0,1
1,0,4,52,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,24,21,0,0,0,1
4,2,1,50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28,15,0,0,0,1
4,0,4,100,2,0,0,0,0,0,0,0,0,21,1,0,1,0,0,0,13,45,34,0,2,1
4,0,4,99,2,0,0,0,0,0,0,0,0,20,1,0,1,0,0,0,13,45,33,0,2,1
1,0,3,36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,11,0,0,0,1
3,1,5,60,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,14,39,0,0,0,1
4,1,6,73,1,1,0,0,0,0,0,0,0,3,1,1,0,0,1,0,23,43,0,0,0,1
1,0,6,64,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,21,36,0,0,0,1
1,0,4,38,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,21,0,0,0,1
1,0,3,72,0,0,0,0,0,0,0,0,0,21,1,1,0,0,0,0,26,39,0,0,0,1
4,0,1,104,11,1,0,0,0,0,0,0,0,14,1,1,0,0,1,0,19,78,0,0,0,1
3,1,5,60,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,24,29,0,0,0,1
4,1,7,83,0,0,0,0,0,2,0,0,0,10,1,1,0,0,0,0,18,58,0,0,0,1
1,0,5,42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,20,15,0,0,0,1
3,1,4,50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,21,22,0,0,0,1
4,1,2,59,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,33,19,0,0,0,1
1,0,3,35,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,16,12,0,0,0,1
2,0,3,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,20,18,0,0,0,1
2,0,2,38,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,16,15,0,0,0,1
2,1,4,54,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,27,20,0,0,0,1
1,0,3,47,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,20,0,0,0,1
1,0,3,38,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,21,10,0,0,0,1
4,1,3,71,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,30,34,0,0,0,1
1,0,3,38,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,16,0,0,0,1
3,1,3,61,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,33,21,0,0,0,1
1,0,3,33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,11,0,0,0,1
1,0,3,36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,14,0,0,0,1
3,0,5,62,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,17,38,0,0,0,1
1,0,2,33,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,22,4,0,0,0,1
2,0,7,69,1,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,10,52,0,0,0,1
2,1,5,50,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,23,20,0,0,0,1
3,1,4,126,0,0,0,0,0,0,1,0,0,41,1,0,0,0,0,0,15,35,68,0,1,1
3,1,4,63,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,27,29,0,0,0,1
3,1,6,68,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,44,0,0,0,1
1,0,2,34,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,17,10,0,0,0,1
3,1,1,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,10,0,0,0,1
1,0,6,53,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,7,39,0,0,0,1
5,3,2,72,4,4,0,0,0,0,1,0,0,13,1,1,0,1,0,0,37,18,9,0,1,1
2,0,4,57,1,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,16,34,0,0,0,1
2,0,2,97,1,0,0,0,5,0,1,0,0,2,1,1,0,0,0,0,19,19,51,0,0,1
2,0,2,45,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,19,19,0,0,0,1
2,1,5,57,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,25,0,0,0,1
3,1,4,61,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,20,34,0,0,1,1
2,0,2,54,0,0,0,0,1,0,0,0,0,4,1,1,0,0,0,0,17,30,0,0,0,1
2,0,2,40,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,28,5,0,0,0,1
2,0,2,127,1,0,0,0,7,0,1,2,0,7,1,1,0,0,0,0,14,19,86,0,0,1
2,0,2,132,1,0,0,0,7,0,1,2,0,4,1,1,0,0,0,0,19,19,86,0,0,1
3,0,4,66,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,16,43,0,0,0,1
2,0,2,40,0,0,0,0,1,0,0,0,0,3,1,1,0,0,0,0,14,19,0,0,0,1
4,2,2,53,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32,14,0,0,0,1
2,0,3,41,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,13,21,0,0,0,1
2,0,2,144,1,0,0,0,7,0,2,2,0,4,1,1,0,0,0,0,19,22,95,0,0,1
2,0,2,100,1,0,0,0,5,0,1,0,0,2,1,1,0,0,0,0,19,22,51,0,0,1
2,0,2,136,1,0,0,0,7,0,2,2,0,4,1,1,0,0,0,0,19,22,87,0,0,1
5,1,2,53,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,18,28,0,0,1,1
4,2,2,57,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,33,17,0,0,0,1
4,0,2,46,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9,30,0,0,1,1
2,0,2,133,1,0,0,0,7,0,2,2,0,4,1,1,0,0,0,0,19,19,87,0,0,1
2,0,4,73,1,0,0,0,0,0,0,0,0,19,1,1,0,0,0,0,13,53,0,0,0,1
1,0,2,29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,5,0,0,0,1
1,0,2,28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,17,4,0,0,0,1
2,0,5,62,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,19,36,0,0,0,1
2,0,2,128,1,0,0,0,7,0,2,2,0,7,1,1,0,0,0,0,14,19,87,0,0,1
2,0,3,51,0,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,15,29,0,0,0,1
2,0,3,146,1,1,0,0,1,0,0,0,0,25,1,1,0,0,0,0,20,54,64,0,0,1
4,0,4,80,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,33,40,0,0,1,1
2,0,2,29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16,6,0,0,0,1
2,0,4,62,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,33,0,0,0,1
2,0,3,49,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,13,29,0,0,1,1
5,1,2,60,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,25,28,0,0,1,1
2,0,5,58,1,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,13,38,0,0,0,1
2,1,0,30,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,22,1,0,0,0,1
2,0,4,60,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,37,0,0,0,1
